Country,Value
Australia,20.339394006099997
Austria,29.2189200043
Belgium,15.5590294204
Canada,11.904639091300002
Czech Republic,21.9107897242
Denmark,16.3251389687
Finland,13.2505463677
France,27.254375638200003
Germany,37.7814662804
Greece,35.139523972199996
Hungary,22.620675427800002
Iceland,20.4592802933
Ireland,14.2178776602
Italy,21.4872569462
Japan,21.3727271711
Korea,16.9364516723
Luxembourg,51.0914028394
Mexico,14.2882426797
Netherlands,22.5122992489
New Zealand,33.3631565274
Norway,17.5692664717
Poland,39.5739594274
Portugal,22.8251054834
Slovak Republic,37.5951777103
Spain,28.1284682519
Sweden,14.3619939269
Switzerland,12.232355836099998
United Kingdom,28.6130441042
United States,11.746077077899999
Chile,20.9114227288
Colombia,17.178888793
Costa Rica,30.6301486567
Estonia,20.043359162999998
Israel,23.9341148213
Latvia,18.1839529348
Lithuania,17.0048157517
Slovenia,40.4552674571
